organization,review_score,n_reviews,course_name,link,topics,Course Type,Commitment,Start Date,Cost,Class size,Location,Duration,hours_per_week,latitude,longitude
Le Wagon,4.99,1568,Data Science Course - Full-time,,"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,,,Brussels,,,50.8465573,4.351697
Le Wagon,4.99,1568,Data Science Course - Full-time,,"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,,,Paris,,,48.856696899999996,2.3514616000000004
Le Wagon,4.99,1568,Data Science Course - Full-time,,"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,,,Bordeaux,,,44.841225,-0.5800364
