organization,review_score,n_reviews,course_name,link,topics,Course Type,Commitment,Start Date,Cost,Class size,Location,Duration,hours_per_week
Le Wagon,4.99,1568,Data Science Course - Full-time,,"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,,,"Brussels, Paris, Bordeaux, London, Berlin, Lyon, Tokyo, Shanghai, Marseille",,
Thinkful,4.59,585,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",26 Weeks,20.0
Thinkful,4.59,585,Data Analytics Immersion,https://thinkful.typeform.com/to/VWnl34,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Full Time,"June 15, 2020","$12,250",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",18 Weeks,50.0
Thinkful,4.59,585,Data Science Flex,https://thinkful.typeform.com/to/zyJrFr,"Data Science, Hadoop, Spark, Algorithms, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$7,000",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",26 Weeks,20.0
Thinkful,4.59,585,Data Science Immersion,https://thinkful.typeform.com/to/RLQoLf,"Data Science, Hadoop, Spark, Algorithms, SQL, Python, Machine Learning",Online,Full Time,Rolling Start Date,"$18,500",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",22 Weeks,50.0
Thinkful,4.59,585,Digital Marketing Flex,https://thinkful.typeform.com/to/TcC4LW,"Digital Marketing, Growth Hacking, SEO, Data Analytics",Online,Part Time,Rolling Start Date,"$4,500",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",12 Weeks,20.0
Thinkful,4.59,585,Digital Marketing Immersion,https://thinkful.typeform.com/to/nnMBWo,"Digital Marketing, Growth Hacking, SEO, Data Analytics",Online,Full Time,None scheduled,,,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",6 Weeks,50.0
Thinkful,4.59,585,Product Management Flex,https://thinkful.typeform.com/to/RZAbQ5,"Design, Product Management, User Experience Design, Business Intelligence",Online,Part Time,Rolling Start Date,"$4,500",,"Online, Detroit, Washington, Los Angeles, Phoenix, San Diego, San Antonio, St. Louis, Denver, Boston, Philadelphia, Minneapolis, Chicago, Raleigh, Tampa, Miami, Orlando, San Francisco, San Jose, Seattle, Cleveland, Columbus, Atlanta, Austin, Baltimore, Boise, Boulder, Charlotte, Cincinnati, Dallas, Hartford, Houston, Indianapolis, Jacksonville, Kansas City, Las Vegas, Madison, Memphis, Milwaukee, Nashville, New York City, Oakland, Pittsburgh, Portland, Richmond, Sacramento, Salt Lake City",26 Weeks,20.0
Springboard,4.68,533,Data Analytics Career Track,https://www.springboard.com/workshops/data-analytics-career-track/?utm_source=coursereport&utm_medium=course_page&utm_campaign=dac,"Data Visualization, Excel, Data Analytics, SQL, Python",Online,Part Time,Rolling Start Date,"$5,500",,Online,,15.0
Springboard,4.68,533,Data Science Career Track,https://www.springboard.com/workshops/data-science-career-track?utm_source=coursereport&utm_medium=content&utm_campaign=dsc_course_listing,"MySQL, Data Science, Git, Spark, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$7,500",,Online,26 Weeks,20.0
