organization,review_score,n_reviews,course_name,link,topics,Course Type,Commitment,Start Date,Cost,Class size,Location,Duration,hours_per_week
Springboard,4.68,533,Data Science Career Track Prep,https://workshops.springboard.com/data-science-career-track-prep-b/,"Data Science, Data Visualization, Python",Online,Part Time,Rolling Start Date,$490,,Online,6 Weeks,15.0
Springboard,4.68,533,Machine Learning Engineering Career Track,https://www.springboard.com/workshops/ai-machine-learning-career-track?utm_source=coursereport&utm_medium=school_listing&utm_campaign=aic,"Artificial Intelligence, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$7,940",,Online,26 Weeks,20.0
Springboard,4.68,533,UI / UX Design Career Track,https://www.springboard.com/workshops/ui-ux-design-career-track/?utm_source=coursereport&utm_medium=course_page&utm_campaign=ixc,"Data Visualization, Design, User Experience Design",Online,Part Time,None scheduled,"$8,200",,Online,39 Weeks,20.0
Springboard,4.68,533,UX Career Track,https://www.springboard.com/workshops/ux-career-track?utm_source=coursereport&utm_medium=school_listing&utm_campaign=uxc,"Data Visualization, Design, User Experience Design",Online,Part Time,Rolling Start Date,"$5,400",,Online,26 Weeks,15.0
General Assembly,4.31,455,Data Analysis On-Demand,https://generalassemb.ly/education/learn-data-analysis-online?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"MySQL, Excel, Data Analytics, SQL",Online,Part Time,None scheduled,$950,,Online,4 Weeks,
General Assembly,4.31,455,Data Analytics (Part-Time),https://generalassemb.ly/education/data-analytics?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"MySQL, Excel, Data Analytics, SQL",In Person,Part Time,None scheduled,"$3,950",22.0,"Los Angeles, Boston, New York City, London, Washington, Online, Atlanta, Singapore, Melbourne, Denver, Chicago, Dallas, San Diego, Phoenix, Orlando, Houston, Seattle, Salt Lake City, Toronto, Paris, Detroit, Miami, Raleigh, Minneapolis, Austin, Sydney, San Francisco",10 Weeks,4.0
General Assembly,4.31,455,Data Science Immersive,https://generalassemb.ly/education/data-science-immersive/?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"MySQL, Data Science, Git, Data Visualization, Hadoop, Spark, Data Analytics, Algorithms, Business Intelligence, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$15,950",22.0,"Los Angeles, Boston, New York City, London, Washington, Online, Atlanta, Singapore, Melbourne, Denver, Chicago, Dallas, San Diego, Phoenix, Orlando, Houston, Seattle, Salt Lake City, Toronto, Paris, Detroit, Miami, Raleigh, Minneapolis, Austin, Sydney, San Francisco",12 Weeks,40.0
General Assembly,4.31,455,Data Science (Part Time),https://generalassemb.ly/education/data-science/?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"Data Science, Git, Data Visualization, Data Analytics, Algorithms, Business Intelligence, Python",In Person,Part Time,Rolling Start Date,"$3,950",22.0,"Los Angeles, Boston, New York City, London, Washington, Online, Atlanta, Singapore, Melbourne, Denver, Chicago, Dallas, San Diego, Phoenix, Orlando, Houston, Seattle, Salt Lake City, Toronto, Paris, Detroit, Miami, Raleigh, Minneapolis, Austin, Sydney, San Francisco",10 Weeks,6.0
General Assembly,4.31,455,Python Programming (Part-Time),https://generalassemb.ly/education/python-programming/?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"Data Science, Data Visualization, Data Structures, Python",In Person,Part Time,Rolling Start Date,"$3,950",22.0,"Los Angeles, Boston, New York City, London, Washington, Online, Atlanta, Singapore, Melbourne, Denver, Chicago, Dallas, San Diego, Phoenix, Orlando, Houston, Seattle, Salt Lake City, Toronto, Paris, Detroit, Miami, Raleigh, Minneapolis, Austin, Sydney, San Francisco",10 Weeks,4.0
General Assembly,4.31,455,Software Engineering Immersive,https://generalassemb.ly/education/software-engineering-immersive/?utm_medium=affiliate-lead-gen-global&utm_campaign=coursereport-affiliate&utm_source=coursereport,"HTML, JavaScript, Django, Rails, CSS, React.js, Front End, Ruby, SQL, Python",In Person,Full Time,Rolling Start Date,"$15,950",22.0,"Los Angeles, Boston, New York City, London, Washington, Online, Atlanta, Singapore, Melbourne, Denver, Chicago, Dallas, San Diego, Phoenix, Orlando, Houston, Seattle, Salt Lake City, Toronto, Paris, Detroit, Miami, Raleigh, Minneapolis, Austin, Sydney, San Francisco",12 Weeks,40.0
Flatiron School,4.69,445,Cybersecurity Analytics Immersive,https://flatironschool.com/career-courses/cybersecurity-analytics,"Data Visualization, Mobile, Linux, Penetration Testing, Virtualization, Mobile Security, Data Analytics, Ethical Hacking, Cryptography, Android, Network Security, SIEM Administration, Python, Blockchain",In Person,Full Time,None scheduled,"$15,000",20.0,"New York City, Washington",12 Weeks,40.0
Flatiron School,4.69,445,Data Science Immersive,https://flatironschool.com/programs/data-science-bootcamp/?utm_campaign=Sponsored_Content&utm_source=CourseReport&utm_medium=DataScienceImmersive,"Data Science, Git, R, JavaScript, jQuery, Data Structures, Algorithms, Node.js, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$15,000",20.0,"San Francisco, Chicago, New York City, Seattle, Washington",15 Weeks,40.0
Flatiron School,4.69,445,Online Cybersecurity Analytics,https://flatironschool.com/career-courses/cybersecurity-analytics/online/north-america,"Growth Hacking, Penetration Testing, Virtualization, Mobile Security, Ethical Hacking, Network Security, SIEM Administration",Online,Part Time,Rolling Start Date,"$15,000",,Online,16 Weeks,
Flatiron School,4.69,445,Online Data Science Immersive,https://flatironschool.com/career-courses/data-science-bootcamp/online/?utm_campaign=Sponsored_Content&utm_source=Course%20Report&utm_medium=Flatiron%20School%20Profile&utm_term=Online%20DS%20PDP,"Data Science, Git, R, JavaScript, jQuery, Data Structures, Algorithms, Node.js, SQL, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$15,000",,Online,,
Coding Dojo,4.42,436,Gap Year Onsite Software Development Immersive Bootcamp,https://www.codingdojo.com/apply,"MySQL, AngularJS, MongoDB, HTML, Git, PHP, C#, JavaScript, .NET, ASP.NET, Django, jQuery, Rails, CSS, Unity, React.js, Data Structures, Algorithms, Node.js, iOS, Java, Front End, Ruby, Swift, Network Security, SQL, Python",In Person,Full Time,Rolling Start Date,"$12,995",35.0,"Boise, Orange County, Seattle, Silicon Valley, Los Angeles, Chicago, Arlington, Tulsa, Dallas",20 Weeks,70.0
Coding Dojo,4.42,436,Online Software Development Immersive Bootcamp - Full-time,https://www.codingdojo.com/apply,"MySQL, AngularJS, MongoDB, HTML, Git, PHP, C#, JavaScript, .NET, ASP.NET, Django, jQuery, Rails, Product Management, CSS, Unity, Express.js, React.js, Data Structures, Algorithms, Node.js, iOS, Java, Ruby, Swift, Network Security, SQL, Python",Online,Full Time,Rolling Start Date,"$14,995",40.0,"Online, Dallas",14 Weeks,70.0
Coding Dojo,4.42,436,Online Software Development Immersive Bootcamp - Part-time,http://www.codingdojo.com/apply?utm_source=CourseReport&utm_medium=SchoolPage&utm_campaign=Application#online,"MySQL, HTML, Git, JavaScript, Django, jQuery, CSS, Algorithms, Python",Online,Part Time,Rolling Start Date,"$9,995",30.0,Online,20 Weeks,20.0
Coding Dojo,4.42,436,Onsite Software Development Immersive Bootcamp - Full-time,https://www.codingdojo.com/apply,"MySQL, AngularJS, MongoDB, HTML, Git, PHP, C#, JavaScript, .NET, ASP.NET, Django, jQuery, Rails, CSS, Unity, Express.js, React.js, Data Structures, Algorithms, Node.js, iOS, Java, Front End, Ruby, Swift, Network Security, SQL, Python",In Person,Full Time,Rolling Start Date,,35.0,"Boise, Orange County, Seattle, Silicon Valley, Los Angeles, Chicago, Arlington, Tulsa, Dallas",14 Weeks,70.0
BrainStation,4.67,362,Data Analytics,https://brainstation.io/course/new-york/data-analytics?utm_source=CourseReport&utm_medium=referral&utm_campaign=Course_DataAnalytics,"Data Visualization, Excel, Data Analytics, SQL",In Person,Part Time,Rolling Start Date,"$3,150",10.0,"New York City, Vancouver, Toronto",10 Weeks,3.0
BrainStation,4.67,362,Data Analytics Online,https://brainstation.io/course/online/data-analytics?utm_source=CourseReport&utm_medium=referral&utm_campaign=dataAnalytics_online,"Data Visualization, Excel, Data Analytics, SQL",Online,Part Time,Rolling Start Date,"$3,150",12.0,Online,10 Weeks,3.0
BrainStation,4.67,362,Data Science,https://brainstation.io/course/new-york/data-science?utm_source=CourseReport&utm_medium=schoolpage&utm_campaign=Course_DataScience_Online,"Data Science, Data Structures, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$3,150",,"New York City, Vancouver, Toronto",10 Weeks,3.0
BrainStation,4.67,362,Data Science Diploma Program,https://brainstation.io/course/toronto/data-science-bootcamp?utm_source=CourseReport&utm_medium=schoolpage&utm_campaign=Course_FTDS&utm_term=Course_FTDS,"MySQL, Data Science, R, Data Visualization, Excel, Data Analytics, Data Structures, Algorithms, Artificial Intelligence, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$14,500",25.0,"Vancouver, Toronto",12 Weeks,40.0
BrainStation,4.67,362,Data Science Diploma Program Online,https://brainstation.io/course/online/remote-data-science-bootcamp?utm_source=CourseReport&utm_medium=schoolpage&utm_campaign=Course_FTDSOL&utm_term=Course_FTDSOL,"MySQL, Data Science, R, Data Visualization, Excel, Data Analytics, Data Structures, Algorithms, Artificial Intelligence, SQL, Python, Machine Learning",Online,Full Time,Rolling Start Date,"$14,500",25.0,Online,12 Weeks,40.0
BrainStation,4.67,362,Data Science Online,https://brainstation.io/course/online/data-science?utm_source=CourseReport&utm_medium=referral&utm_campaign=dataScience_online,"Data Structures, Python, Machine Learning",Online,Part Time,Rolling Start Date,"$3,150",,Online,10 Weeks,3.0
BrainStation,4.67,362,Machine Learning,https://brainstation.io/course/new-york/machine-learning?utm_source=CourseReport&utm_medium=referral&utm_campaign=Course_MachineLearning,Machine Learning,In Person,Part Time,Rolling Start Date,"$3,150",6.0,"New York City, Vancouver, Toronto",10 Weeks,3.0
BrainStation,4.67,362,Machine Learning Online,https://brainstation.io/course/machine-learning?utm_source=CourseReport&utm_medium=referral&utm_campaign=machineLearning_online,Machine Learning,Online,Part Time,Rolling Start Date,"$3,150",10.0,Online,10 Weeks,3.0
BrainStation,4.67,362,Python Programming,https://brainstation.io/course/new-york/python-programming?utm_source=CourseReport&utm_medium=referral&utm_campaign=python,"Data Science, Data Visualization, Data Structures, Algorithms, Python",In Person,Part Time,Rolling Start Date,"$2,450",6.0,"New York City, Vancouver, Toronto",5 Weeks,3.0
BrainStation,4.67,362,Python Programming Online,https://brainstation.io/training/python-data-science?utm_source=CourseReport&utm_medium=referral&utm_campaign=python_online,"Data Science, Data Visualization, Data Structures, Algorithms, Python",Online,Part Time,Rolling Start Date,"$2,450",6.0,Online,5 Weeks,3.0
BrainStation,4.67,362,Web Development Diploma Program,https://brainstation.io/course/toronto/web-development-immersive?utm_source=CourseReport&utm_medium=schoolpage&utm_campaign=Course_FTWD&utm_term=Course_FTWD,"MySQL, HTML, Git, JavaScript, jQuery, CSS, DevOps, Express.js, React.js, Data Structures, Algorithms, Node.js, Front End, Agile, SQL",In Person,Full Time,Rolling Start Date,"$14,500",25.0,"Vancouver, Toronto",12 Weeks,40.0
BrainStation,4.67,362,Web Development Diploma Program Online,https://brainstation.io/course/online/remote-web-development-bootcamp?utm_source=CourseReport&utm_medium=schoolpage&utm_campaign=Course_FTWDOL&utm_term=Course_FTWDOL,"MySQL, HTML, Git, JavaScript, jQuery, CSS, DevOps, Express.js, React.js, Data Structures, Algorithms, Node.js, Front End, Agile, SQL",Online,Full Time,Rolling Start Date,"$14,500",25.0,Online,12 Weeks,40.0
Udacity,4.73,342,AI Programming with Python,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Artificial Intelligence,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Artificial Intelligence for Trading,https://www.udacity.com/course/ai-for-trading--nd880,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Data Analyst,https://www.udacity.com/school-of-data-science?utm_source=CourseReport&utm_medium=SchoolPage,"Git, SQL, Python",Online,Part Time,Rolling Start Date,$399,,Online,16 Weeks,
Udacity,4.73,342,Data Engineer,https://www.udacity.com/course/data-engineer-nanodegree--nd027,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Data Streaming,https://www.udacity.com/course/data-streaming-nanodegree--nd029,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Data Visualization,https://www.udacity.com/course/data-visualization-nanodegree--nd197,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Deep Learning,https://www.udacity.com/course/deep-learning-nanodegree--nd101,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Deep Reinforcement Learning,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Introduction to Machine Learning,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Machine Learning Engineer,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Marketing Analytics,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Predictive Analytics for Business,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,,Online,Part Time,Rolling Start Date,,,Online,,
Udacity,4.73,342,Programming for Data Science with R,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,,Online,Part Time,Rolling Start Date,,,Online,,
NYC Data Science Academy,4.84,289,12-Weeks In-Person Data Science Bootcamp,http://nycdatascience.com/bootcamp/,"MySQL, Data Science, Git, R, Data Visualization, Hadoop, Spark, Linux, Data Analytics, SQL, Python, Machine Learning",In Person,Full Time,"July 6, 2020","$17,600",50.0,New York City,12 Weeks,420.0
NYC Data Science Academy,4.84,289,"Big Data with Amazon Cloud, Hadoop/Spark and Docker",https://nycdatascience.com/courses/big-data-with-hadoop-and-spark/,"Data Science, Hadoop, Spark, Data Structures, Python, Cloud Computing",In Person,Part Time,None scheduled,"$2,990",10.0,New York City,2 Weeks,5.0
NYC Data Science Academy,4.84,289,Data Science with Python: Data Analysis and Visualization (Weekend Course),http://nycdatascience.com/courses/data-science-with-python-data-analysis/,"Data Science, Data Visualization, Data Analytics, Data Structures, Algorithms, Python",In Person,Part Time,None scheduled,"$1,590",20.0,"New York City, Online",6 Weeks,4.0
NYC Data Science Academy,4.84,289,Data Science with Python: Machine Learning (Weekend Course),https://nycdatascience.com/courses/data-science-with-python-machine-learning/,"Data Science, R, Artificial Intelligence, Machine Learning",In Person,Part Time,None scheduled,"$1,990",10.0,"New York City, Online",5 Weeks,7.0
NYC Data Science Academy,4.84,289,Data Science with R: Data Analysis and Visualization (Weekend Course),https://nycdatascience.com/courses/data-science-with-r-data-analysis/,"Data Science, R, Data Visualization, Data Analytics, Data Structures",In Person,Part Time,None scheduled,"$2,190",15.0,"New York City, Online",6 Weeks,7.0
NYC Data Science Academy,4.84,289,Data Science with R: Machine Learning (Weekend Course),https://nycdatascience.com/courses/data-science-with-r-machine-learning/,"Data Science, R, Machine Learning",In Person,Part Time,None scheduled,"$2,990",40.0,"New York City, Online",6 Weeks,7.0
NYC Data Science Academy,4.84,289,Deep Learning with Tensorflow (Weekends and In-Person Only),https://nycdatascience.com/courses/deep-learning/,"Data Science, Game Development, Artificial Intelligence, Python, Machine Learning",In Person,Part Time,None scheduled,"$2,990",15.0,New York City,6 Weeks,6.0
NYC Data Science Academy,4.84,289,Full-time Online Data Science Bootcamp,https://nycdatascience.com/remote-data-science-full-time/,"MySQL, Data Science, Git, R, Data Visualization, Hadoop, Spark, Linux, Data Analytics, SQL, Python, Machine Learning",Online,Full Time,"July 6, 2020","$17,600",25.0,Online,12 Weeks,28.0
NYC Data Science Academy,4.84,289,Introductory Python (Evenings),http://nycdatascience.com/courses/introductory-python/,"MySQL, Data Science, Data Visualization, Data Analytics, Data Structures, Algorithms, Python",In Person,Part Time,None scheduled,"$1,590",40.0,New York City,2 Weeks,5.0
NYC Data Science Academy,4.84,289,Part-time Online Data Science Bootcamp,https://nycdatascience.com/remote-data-science-bootcamp/,"Data Science, R, Data Visualization, Spark, Virtualization, Data Analytics, Data Structures, Artificial Intelligence, SQL, Python, Machine Learning",Online,Part Time,"July 6, 2020","$17,600",25.0,Online,26 Weeks,28.0
GreyAtom School of Data Science,4.92,274,Data Science Masters Program - Remote,https://greyatom.com/data-science-machine-learning-course-remote/,"Data Science, Artificial Intelligence, Python, Machine Learning",Online,Part Time,None scheduled,"$2,000",8.0,Mumbai,24 Weeks,
GreyAtom School of Data Science,4.92,274,Data Science Masters Program with Deep Learning,http://www.greyatom.com/apply/,Data Science,In Person,Part Time,None scheduled,"₹170,000",,Mumbai,40 Weeks,12.0
The Tech Academy,4.84,234,In-Person C# and .NET Framework Boot Camp (full-time),https://learncodinganywhere.com/contact,"MySQL, HTML, Git, C#, JavaScript, .NET, ASP.NET, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, SQL",In Person,Full Time,Rolling Start Date,"$9,980",,"Salt Lake City, Denver, Portland, Seattle",15 Weeks,
The Tech Academy,4.84,234,In-Person C# and .NET Framework Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, C#, JavaScript, .NET, ASP.NET, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL",In Person,Part Time,Rolling Start Date,"$14,980",,"Salt Lake City, Denver, Portland, Seattle",28 Weeks,
The Tech Academy,4.84,234,In-Person Data Science Boot Camp (full-time),https://learncodinganywhere.com/contact,"Data Science, HTML, Git, R, JavaScript, Data Visualization, jQuery, CSS, DevOps, React.js, Data Analytics, Data Structures, Algorithms, Front End, Business Intelligence, Scrum, Artificial Intelligence, Agile, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$10,980",,"Salt Lake City, Denver, Portland, Seattle",16 Weeks,
The Tech Academy,4.84,234,In-Person Data Science Boot Camp (part-time),https://learncodinganywhere.com/contact,"Data Science, HTML, Git, R, JavaScript, Data Visualization, jQuery, CSS, DevOps, React.js, Data Analytics, Data Structures, Algorithms, Front End, Business Intelligence, Scrum, Artificial Intelligence, Agile, SQL, Python, Machine Learning",In Person,Part Time,Rolling Start Date,"$15,980",,"Salt Lake City, Denver, Portland, Seattle",30 Weeks,
The Tech Academy,4.84,234,In-Person Python Boot Camp (full-time),https://learncodinganywhere.com/contact,"MySQL, HTML, Git, JavaScript, ASP.NET, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, SQL, Python",In Person,Full Time,Rolling Start Date,"$9,980",,"Salt Lake City, Denver, Portland, Seattle",15 Weeks,
The Tech Academy,4.84,234,In-Person Python Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, JavaScript, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",In Person,Part Time,Rolling Start Date,"$14,980",,"Salt Lake City, Denver, Portland, Seattle",28 Weeks,
The Tech Academy,4.84,234,In-person Software Developer Boot Camp (full-time),https://learncodinganywhere.com/contact,"MySQL, HTML, Git, C#, JavaScript, .NET, ASP.NET, Django, jQuery, CSS, React.js, Data Structures, Algorithms, Front End, Scrum, SQL, Python",In Person,Full Time,Rolling Start Date,"$13,980",,"Salt Lake City, Denver, Portland, Seattle",22 Weeks,
The Tech Academy,4.84,234,In-Person Software Developer Boot Camp (part-time),https://learncodinganywhere.com/contact,"HTML, Git, C#, JavaScript, .NET, ASP.NET, Django, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL, Python",In Person,Part Time,Rolling Start Date,"$19,980",,"Salt Lake City, Denver, Portland, Seattle",40 Weeks,
The Tech Academy,4.84,234,Online C# and .NET Framework Boot Camp (full-time),https://learncodinganywhere.com/Home/contact,"HTML, C#, JavaScript, .NET, jQuery, CSS, DevOps, React.js, Data Structures, Front End, Scrum, SQL",Online,Full Time,Rolling Start Date,"$9,980",,Online,15 Weeks,
The Tech Academy,4.84,234,Online C# and .NET Framework Boot Camp (part-time),https://learncodinganywhere.com/Home/contact,"HTML, Git, C#, JavaScript, .NET, ASP.NET, jQuery, CSS, DevOps, React.js, Data Structures, Algorithms, Front End, Scrum, Agile, SQL",Online,Part Time,Rolling Start Date,"$14,980",,Online,28 Weeks,
The Tech Academy,4.84,234,Online Data Science Boot Camp (full-time),https://learncodinganywhere.com/contact,"Data Science, HTML, Git, R, JavaScript, Data Visualization, jQuery, CSS, DevOps, React.js, Data Analytics, Data Structures, Algorithms, Front End, Business Intelligence, Scrum, Artificial Intelligence, Agile, SQL, Python, Machine Learning",In Person,Full Time,Rolling Start Date,"$10,980",,Online,30 Weeks,
