organization,review_score,n_reviews,course_name,link,topics,course type,commitment,start date,cost,class size,location,duration,hours_per_week,latitude,longitude,pretty_camp,cost_num,pay_per,currency,USD_cost,USD_cost_num
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Brussels,(?),(?),50.8465573,4.351697,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Paris,(?),(?),48.856696899999996,2.3514616000000004,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Bordeaux,(?),(?),44.841225,-0.5800364,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),London,(?),(?),51.5073219,-0.1276474,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Berlin,(?),(?),52.517036499999996,13.388859900000002,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Lyon,(?),(?),45.75781370000001,4.8320114,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Tokyo,(?),(?),35.682838700000005,139.7594549,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Shanghai,(?),(?),31.225298499999997,121.4890497,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Le Wagon,4.99,1568.0,Data Science Course - Full-time,(?),"Data Science, Git, Data Visualization, Data Analytics, Data Structures, Algorithms, Business Intelligence, Artificial Intelligence, SQL, Python, Machine Learning, Cloud Computing",In Person,Full Time,None scheduled,?,(?),Marseille,(?),(?),43.2961743,5.3699525,<b>Full-time Bootcamp</b> | In Person,?,?,?,?,?
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Detroit,26 Weeks,20.0,42.331550899999996,-83.04664029999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Washington,26 Weeks,20.0,38.8949855,-77.03657079999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Los Angeles,26 Weeks,20.0,34.0536909,-118.2427666,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Phoenix,26 Weeks,20.0,33.448436699999995,-112.07414170000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),San Diego,26 Weeks,20.0,32.7174209,-117.16277140000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),San Antonio,26 Weeks,20.0,29.424600199999997,-98.4951405,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),St. Louis,26 Weeks,20.0,38.6268039,-90.1994097,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Denver,26 Weeks,20.0,39.7392364,-104.98486229999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Boston,26 Weeks,20.0,42.3602534,-71.0582912,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Philadelphia,26 Weeks,20.0,39.9527237,-75.16352619999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Minneapolis,26 Weeks,20.0,44.9772995,-93.2654692,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Chicago,26 Weeks,20.0,41.875561600000005,-87.6244212,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Raleigh,26 Weeks,20.0,35.7803977,-78.63909890000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Tampa,26 Weeks,20.0,27.947759499999997,-82.458444,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Miami,26 Weeks,20.0,25.7742658,-80.1936589,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Orlando,26 Weeks,20.0,28.5421109,-81.3790304,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),San Francisco,26 Weeks,20.0,37.779026200000004,-122.4199061,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),San Jose,26 Weeks,20.0,37.3361905,-121.89058329999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Seattle,26 Weeks,20.0,47.6038321,-122.3300624,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Cleveland,26 Weeks,20.0,41.5051613,-81.6934446,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Columbus,26 Weeks,20.0,39.9622601,-83.00070649999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Atlanta,26 Weeks,20.0,33.749098700000005,-84.39018490000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Austin,26 Weeks,20.0,30.2711286,-97.7436995,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Baltimore,26 Weeks,20.0,39.2908816,-76.610759,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Boise,26 Weeks,20.0,43.6166163,-116.20088600000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Boulder,26 Weeks,20.0,40.0149856,-105.2705456,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Charlotte,26 Weeks,20.0,35.2272,-80.843083,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Cincinnati,26 Weeks,20.0,39.1014537,-84.5124602,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Dallas,26 Weeks,20.0,32.7762719,-96.7968559,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Hartford,26 Weeks,20.0,41.764582,-72.6908547,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Houston,26 Weeks,20.0,29.7589382,-95.36769740000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Indianapolis,26 Weeks,20.0,39.7683331,-86.1583502,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Jacksonville,26 Weeks,20.0,30.3321838,-81.655651,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Kansas City,26 Weeks,20.0,39.100105,-94.5781416,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Las Vegas,26 Weeks,20.0,36.1672559,-115.1485163,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Madison,26 Weeks,20.0,43.074760999999995,-89.3837613,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Memphis,26 Weeks,20.0,35.1490215,-90.0516285,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Milwaukee,26 Weeks,20.0,43.0349931,-87.92249699999999,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Nashville,26 Weeks,20.0,36.1622296,-86.7743531,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),New York City,26 Weeks,20.0,40.7127281,-74.0060152,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Oakland,26 Weeks,20.0,37.804455700000005,-122.27135630000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Pittsburgh,26 Weeks,20.0,40.4416941,-79.99008609999998,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Portland,26 Weeks,20.0,45.5202471,-122.6741949,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Richmond,26 Weeks,20.0,37.53850870000001,-77.43428,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Sacramento,26 Weeks,20.0,38.5815719,-121.49439960000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Flex,https://thinkful.typeform.com/to/bt8YN1,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Part Time,Rolling Start Date,"$4,500",(?),Salt Lake City,26 Weeks,20.0,40.759619799999996,-111.88679750000001,<b>Part-time Bootcamp</b> | Online,4500,?,$,"$4,500",4500
Thinkful,4.59,585.0,Data Analytics Immersion,https://thinkful.typeform.com/to/VWnl34,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Full Time,"June 15, 2020","$12,250",(?),Detroit,18 Weeks,50.0,42.331550899999996,-83.04664029999999,<b>Full-time Bootcamp</b> | Online,12250,?,$,"$12,250",12250
Thinkful,4.59,585.0,Data Analytics Immersion,https://thinkful.typeform.com/to/VWnl34,"MySQL, Data Visualization, Excel, Data Analytics, Business Intelligence, SQL, Python",Online,Full Time,"June 15, 2020","$12,250",(?),Washington,18 Weeks,50.0,38.8949855,-77.03657079999999,<b>Full-time Bootcamp</b> | Online,12250,?,$,"$12,250",12250
