course_name,institution,location,,,,,,,,,,,,,,description,cost,dur_period,dur_number,class,degree,enrollment,online,in_person,blended_learning,geo_search,gmaps_info,coord,latitude,longitude,duration,pretty_degree
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"Limbe, Cameroon",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,4.019991,9.196396,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"Biriwa, Ghana",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,5.168048,-1.144657,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"MBour, Sénégal",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,14.392066,-16.958084,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"Muizenberg, South Africa",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,-34.107178,18.470513,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"Bagamoyo, Tanzania",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,-6.445638,38.898731,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
African Master’s in Machine Intelligence,African Institute for Mathematical Sciences,"Kigali, Rwanda",,,,,,,,,,,,,,,(?),,,Master's,,Full-time,In Person,Yes,No,,,,-1.961283,30.112964,1 year,<b>Full-time Master's (AMMI)</b> | In Person & Online (blended)
Data Analytics and Business Intelligence,University of the Western Cape,"Cape Town, South Africa",,,,,,,,,,,,,,,R50 000,,,Master's,,Part-time,In Person,Yes,No,,,,-33.933529,18.628591,18 months,<b>Part-time Master's</b> | In Person
