course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2
Computational and Data-Enabled Sciences,University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","The integration of large computing and big data is essential to tackle the research problems in fields ranging from multi-scale modeling and design of materials to natural disasters, smart electric grids, and medical technologies. The Computational and Data-Enabled Sciences programme is offered by University at Buffalo, The State University of New York School of Engineering and Applied Sciences.","9,808 EUR / year",month,48,Ph.D.,Full-time,
Network Science,Central European University (CEU),"Vienna, Austria","The PhD program in Network Science at Central European University (CEU) is a research-oriented program that provides the only PhD degree in this field in Europe. It offers advanced training in theoretical and computational methods, challenging coursework on the basic concepts and theories of large-scale networks, and hands-on experience in taming massive datasets.",,month,36,Ph.D.,Full-time,
Bridge (Doctor of Business Administration with an Emphasis in Data Analytics),Grand Canyon University,Online,The Bridge (Doctor of Business Administration with an Emphasis in Data Analytics) program at Grand Canyon University offers a strong foundation in preparation for your doctoral business and academic journey. ,512 EUR / credit,month,2,Ph. D.,Part-time,
Learning Analytics,University of Technology Sydney,"Sydney, New South Wales, Australia",This PhD in Learning Analytics from University of Technology Sydney is a research degree requiring an original and significant contribution to knowledge in the field of learning analytics. It is the traditional path for those wishing to pursue a career in research or academic life.,"21,819 EUR / year",month,48,Ph.D.,Full-time,Part-time
Statistics,Maynooth University,"Maynooth, Ireland",The PhD in Statistics is a research degree which usually takes four years to complete at Maynooth University. A student must write a thesis under the direction of a member of staff containing a significant amount of original Statistics.,"15,000 EUR / year",month,48,Ph.D.,Full-time,
Statistics and Data Science - Statistical Informatics,University of Arizona,"Tucson, Arizona, United States",The Statistics & Data Science Graduate Interdisciplinary Program offers interdisciplinary courses of study leading to the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Statistics and Data Science - Statistical Informatics at University of Arizona along with a 12-unit Graduate Certificate. ,"17,452 EUR / year",month,30,Ph.D.,Full-time,
Computational Science and Statistics - Data Science Specialization,South Dakota State University,"Brookings, South Dakota, United States","The Computational Science and Statistics - Data Science Specialization at South Dakota State University is designed to train students to integrate computational and statistical methodologies to formulate, model, analyze, and solve research problems of interest in a wide variety of applied and theoretical contexts.  ",291 EUR / credit,month,36,Ph.D.,Full-time,Blended Learning
Operations and Information Systems,University of Alberta,"Camrose, Canada",Students in the Operations and Information Systems (OIS) major train to become scholars in Operations Management (OM) and Management Information Systems (MIS).  All students receive training in the fundamentals of both OM and MIS and in-depth training in at least one of these two disciplines.  ,"5,963 EUR / year",month,48,Ph.D.,Full-time,
Complex Systems Disentanglement through Data Analysis,University of Bucharest,"Bucharest, Romania","The Complex Systems Disentanglement through Data Analysis programme from University of Bucharest provides the rare opportunity for the Ph.D. students to approach complex scientific problems in a multidisciplinary environment, under the guidance of experienced researchers from different disciplines.","3,400 EUR / year",month,48,Ph. D.,Full-time,
Data Science,Jheronimus Academy of Data Science (JADS),Multiple locations,"The Professional Doctorate in Engineering program Data Science is a two-year post-master's program. It qualifies students with an MSc degree in mathematics, statistic and computer science to become top-level professionals.",,month,24,Ph. D.,Full-time,
Data Science,University of Essex,"Colchester, England, United Kingdom",Our PhD Data Science is an advanced research degree within our Department of Mathematical Sciences and we have staff members available to act as supervisors across a number of areas within data science. ,,month,36,Ph.D.,Full-time,
"Computer Science, Integrated",Newcastle University,"Newcastle upon Tyne, England, United Kingdom","Computer Science, Integrated PhD at  Newcastle University combines taught computer science modules with research. It gives you an opportunity to make a unique contribution to computer science research. You will work within a research group, guided by experts and supported by a team of advisers.","25,064 EUR / year",month,48,Ph.D.,Full-time,Part-time
PhD Scholarship in Computer Science & Informatics,Cardiff University,"Cardiff, Wales, United Kingdom","Apply now for a funded 3 year PhD scholarship, starting on 1 October 2020.  Overseas applicants must self-fund the difference between UK/EU and Overseas fees.",,month,36,Ph. D.,Full-time,
"Fully-Funded PhD Positions in Biology, Computer Science, Data Science, Mathematics, Neuroscience, and Physics",Institute of Science and Technology Austria (IST Austria),"Klosterneuburg, Austria","The Fully-Funded PhD Positions in Biology, Computer Science, Data Science, Mathematics, Neuroscience, and Physics at the Institute of Science and Technology Austria (IST Austria) are characterized by modern comprehensive training with a special focus on interdisciplinarity, close mentoring by outstanding faculty within small research groups, and access to first-rate facilities.",0 EUR / year,month,60,Ph.D.,Full-time,
"Informatics - LFCS - Theory and Foundations of Computer Science, Databases, Software and Systems Modelling",The University of Edinburgh,"Edinburgh, Scotland, United Kingdom","The Informatics - LFCS - Theory and Foundations of Computer Science, Databases, Software and Systems Modelling programme offered by The University of Edinburgh continues to lead the way in the development of mathematical models, theories and tools that probe the possibilities of computation and communication.","25,936 EUR / year",month,36,Ph.D.,Full-time,Part-time
Survey Methodology,University of Essex,"Colchester, England, United Kingdom",This program is offered at the University of Essex.,"16,246 EUR / year",month,36,Ph.D.,Full-time,
"PhD in Computer Science and Informatics - Personal Data Store, Smart Cities Data Marketplaces, and Sensing as a Service for Inte",Cardiff University,"Cardiff, Wales, United Kingdom","The potential PhD student may take this project towards either systems or data science. A potential systems project will explore how to develop novel infrastructure components to support personal data stores and data marketplaces. A potential data science project may look at novel data discovery techniques, data wrangling techniques, data analytics and so on.",,,,Ph. D.,Full-time,
Logical Methods in Computer Science,Vienna University of Technology,"Vienna, Austria","The Logical Methods in Computer Science – LogiCS doctoral program is a PhD degree program, funded by the Austrian Science Fund FWF and run jointly by the three Austrian universities TU Wien (Vienna University of Technology), Graz University of Technology and Johannes Kepler University Linz. ",,month,36,Doctorate,Full-time,
Analytics and Data Science,Kennesaw State University,"Kennesaw, Georgia, United States","Kennesaw State University's Ph.D. in Analytics and Data Science is an advanced degree which has been developed to meet the market demand for Data Scientists. This degree will train individuals to translate large, structured and unstructured, complex datasets into information to improve decision making.",,,,Ph.D.,Full-time,
Statistics and Data Science,University of Arizona,"Tucson, Arizona, United States","A Ph.D. Statistics and Data Science at University of Arizona  is also available for students already registered into a Ph.D. program other than Statistics here at the UA. Our mission is to develop the next generation of data scientists, trained to meet the challenges of modern interdisciplinary data extraction, analysis, and interpretation.","17,452 EUR / year",month,36,Ph.D.,Full-time,
Data Science,Eindhoven University of Technology (TU/e),"Eindhoven, Netherlands","Part of 4TU Stan Ackermans Institute, the PDEng Data Science programme at Eindhoven University of Technology (TU/e)  is a joint initiative of Eindhoven University of Technology, Tilburg University, and the Data Science Centre Eindhoven. Together they founded The Jheronimus Academy of Data Science (JADS). ",,month,24,Ph. D.,Full-time,
Data Science and Engineering,University of Tennessee Knoxville,"Knoxville, Tennessee, United States",The Bredesen Center for Interdisciplinary Research and Graduate Education offers a graduate program leading to the Doctor of Philosophy (PhD) degree in Data Science and Engineering (DSE). ,"11,377 EUR / year",month,36,Ph.D.,Full-time,
Computer Science,University of Bristol,"Bristol, England, United Kingdom","The Computer Science programme from University of Bristol brings together the research in computing, communications, electronics and photonics within the University.","25,605 EUR / year",month,36,Ph. D.,Full-time,Part-time
Computational Science and Statistics - Statistics Specialization,South Dakota State University,"Brookings, South Dakota, United States","The Computational Science and Statistics - Statistics Specialization at South Dakota State University is designed to train students to integrate computational and statistical methodologies to formulate, model, analyze, and solve research problems of interest in a wide variety of applied and theoretical contexts.  ",291 EUR / credit,month,36,Ph.D.,Full-time,Blended Learning
